,District,VDC/Municipality,Urban/Rural,Age,Gender,Marital Status,Caste/ethnicity,Occupation,What is the current status of your home?,1. Are your main reconstruction needs being addressed?,2. Do you have the information you need to access housing reconstruction support?,3. Have you consulted an engineer for your housing reconstruction needs?,5. Have you received any housing reconstruction support (this includes both financial and technical)?,6. Have you been able to commit your own resources?,7.  Are you aware how to build by using safer housing practices?,8. Do you face any barriers to receive support to reconstruct your house?,10. Are you satisfied with grant dispersal process?,"11. Besides building your home, what is the biggest community reconstruction need of your community?","12. Overall, is the post-earthquake reconstruction process making progress?",12. Are your family’s daily food need being met?,13. What is your primary source of income generation now?,14. How much of your own food do you grow?,15. Has damage from the earthquake impacted your livelihood?,16. Do you face any constraints to livelihood recovery?,17. What one skill would you like to develop in support of your livelihood?,18. Do you feel that your source of livelihood would survive another disaster?,19. Have any members of your family been required to migrate to support your family’s recovery?,HRRP_DNAME,HRRP_DCODE
16,Nuwakot,Kalyanpur VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Minor damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Completely yes,Not many,New farming skills,Somewhat yes, Yes,Nuwakot,524 2 05 28
17,Nuwakot,Bidur Municipality,Urban,40-54,Male,Married,Newar,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Community Centre,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not very much,Not many,Masonry,Somewhat yes,No,Nuwakot,524 2 05 28
18,Nuwakot,Kalyanpur VDC,Rural,55+,Male,Married,Tamang,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Others,Somewhat yes,Completely yes,Agriculture / livestock,Most,Completely yes,Not many,Entrepreneurship,Somewhat yes,No,Nuwakot,524 2 05 28
19,Nuwakot,Kalyanpur VDC,Rural,55+,Male,Widow/Widower,Chhetri,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,All,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
20,Nuwakot,Kalyanpur VDC,Rural,55+,Female,Married,Newar,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Schools,Don’t Know/Refused,Completely yes,Agriculture / livestock,Most,Somewhat yes,Some concern,Entrepreneurship,Not very much,No,Nuwakot,524 2 05 28
21,Nuwakot,Kalyanpur VDC,Rural,55+,Male,Married,Chhetri,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,All,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
22,Nuwakot,Kalyanpur VDC,Rural,25-39,Female,Married,Newar,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Completely yes,Some concern,Tailoring,Somewhat yes,No,Nuwakot,524 2 05 28
23,Nuwakot,Kalyanpur VDC,Rural,25-39,Female,Married,Chhetri,Agriculture,Reconstruction completed,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not at all,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
24,Nuwakot,Kalyanpur VDC,Rural,25-39,Male,Married,Chhetri,Other,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not many,Entrepreneurship,Somewhat yes,No,Nuwakot,524 2 05 28
25,Nuwakot,Kalyanpur VDC,Rural,25-39,Female,Married,Newar,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Little  bit,Not very much,Not many,Tailoring,Somewhat yes,No,Nuwakot,524 2 05 28
26,Nuwakot,Kalyanpur VDC,Rural,40-54,Male,Married,Newar,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,Other building skills,Somewhat yes,No,Nuwakot,524 2 05 28
27,Nuwakot,Fikuri VDC,Rural,40-54,Female,Married,Brahmin,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Somewhat yes,Job at private company,Little  bit,Somewhat yes,Not many,None,Somewhat yes,No,Nuwakot,524 2 05 28
28,Nuwakot,Kalyanpur VDC,Rural,40-54,Male,Married,Newar,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,Masonry,Somewhat yes, Yes,Nuwakot,524 2 05 28
29,Nuwakot,Fikuri VDC,Rural,40-54,Female,Married,Brahmin,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,Most,Completely yes,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
30,Nuwakot,Kalyanpur VDC,Rural,25-39,Female,Married,Newar,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Plan to Consult,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not very much,Not many,Handicraft production,Somewhat yes,No,Nuwakot,524 2 05 28
31,Nuwakot,Fikuri VDC,Rural,25-39,Male,Married,Brahmin,"Skilled worker (i.e. carpenter, masons)",Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,All,Completely yes,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
32,Nuwakot,Fikuri VDC,Rural,25-39,Female,Married,Brahmin,Private sector job,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Completely yes,Teaching,Little  bit,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
33,Nuwakot,Fikuri VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,Most,Completely yes,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
34,Nuwakot,Fikuri VDC,Rural,55+,Male,Married,Tamang,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
35,Nuwakot,Fikuri VDC,Rural,25-39,Female,Married,Brahmin,Government job,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Completely yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Completely yes,Remittance,All,Not very much,Not many,Tailoring,Somewhat yes, Yes,Nuwakot,524 2 05 28
36,Nuwakot,Fikuri VDC,Rural,25-39,Male,Divorced,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,Most,Completely yes,Some concern,None,Somewhat yes,No,Nuwakot,524 2 05 28
37,Nuwakot,Fikuri VDC,Rural,40-54,Male,Married,Brahmin,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Somewhat yes,Agriculture / livestock,All,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
38,Nuwakot,Fikuri VDC,Rural,55+,Female,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Don’t Know/Refused,Completely yes,Agriculture / livestock,Most,Completely yes,Not many,None,Not very much, Yes,Nuwakot,524 2 05 28
39,Nuwakot,Fikuri VDC,Rural,25-39,Male,Married,Brahmin,Shopkeeper,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Completely yes,Business,Half,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
40,Nuwakot,Halde kalika VDC,Rural,40-54,Female,Widow/Widower,Tamang,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not very much,Not very much,Not very much,Somewhat yes,Schools,Don’t Know/Refused,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,Some concern,Entrepreneurship,Not very much,No,Nuwakot,524 2 05 28
41,Nuwakot,Fikuri VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Community Centre,Somewhat yes,Somewhat yes,Agriculture / livestock,All,Not very much,Not many,Masonry,Somewhat yes,No,Nuwakot,524 2 05 28
42,Nuwakot,Halde kalika VDC,Rural,55+,Male,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Some concern,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
43,Nuwakot,Fikuri VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Religious/ Cultural Heritages,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,Masonry,Somewhat yes, Yes,Nuwakot,524 2 05 28
44,Nuwakot,Halde kalika VDC,Rural,40-54,Male,Widow/Widower,Tamang,"Skilled worker (i.e. carpenter, masons)",Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Labour,Little  bit,Somewhat yes,Some concern,Masonry,Somewhat yes,No,Nuwakot,524 2 05 28
45,Nuwakot,Fikuri VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Religious/ Cultural Heritages,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
46,Nuwakot,Fikuri VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Religious/ Cultural Heritages,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,Other building skills,Somewhat yes,No,Nuwakot,524 2 05 28
47,Nuwakot,Halde kalika VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Some concern,Tailoring,Not very much,No,Nuwakot,524 2 05 28
48,Nuwakot,Halde kalika VDC,Rural,55+,Male,Married,Magar,"Skilled worker (i.e. carpenter, masons)",Reconstruction started,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Labour,Half,Completely yes,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
49,Nuwakot,Halde kalika VDC,Rural,25-39,Male,Married,Tamang,Labourer,Heavily damaged,Somewhat yes,Somewhat yes,Plan to Consult,No,Somewhat yes,Somewhat yes,Not very much,Not very much,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,Masonry,Somewhat yes,No,Nuwakot,524 2 05 28
50,Nuwakot,Halde kalika VDC,Rural,25-39,Male,Married,Magar,"Skilled worker (i.e. carpenter, masons)",Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have not consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Somewhat yes,Not very much,Trails/lane,Somewhat yes,Completely yes,Labour,Half,Completely yes,Some concern,Entrepreneurship,Not at all,No,Nuwakot,524 2 05 28
51,Nuwakot,Halde kalika VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,Masonry,Somewhat yes,No,Nuwakot,524 2 05 28
52,Nuwakot,Halde kalika VDC,Rural,55+,Female,Married,Magar,Home maker/ Housewife,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not very much,Not very much,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Masonry,Little  bit,Completely yes,Some concern,None,Not at all,No,Nuwakot,524 2 05 28
53,Nuwakot,Halde kalika VDC,Rural,25-39,Male,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Masonry,Half,Not very much,Not many,Other building skills,Somewhat yes,No,Nuwakot,524 2 05 28
54,Nuwakot,Halde kalika VDC,Rural,55+,Male,Married,Magar,Private sector job,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not many,Entrepreneurship,Not very much,No,Nuwakot,524 2 05 28
55,Nuwakot,Urleni VDC,Rural,55+,Male,Married,Tamang,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Others,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
56,Nuwakot,Halde kalika VDC,Rural,55+,Female,Widow/Widower,Tamang,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Little  bit,Not very much,Not many,Handicraft production,Somewhat yes, Yes,Nuwakot,524 2 05 28
57,Nuwakot,Halde kalika VDC,Rural,25-39,Male,Married,Magar,"Skilled worker (i.e. carpenter, masons)",Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Masonry,Little  bit,Not very much,Not many,Driving,Somewhat yes,No,Nuwakot,524 2 05 28
58,Nuwakot,Urleni VDC,Rural,55+,Female,Widow/Widower,Tamang,Unemployed,Heavily damaged,Somewhat yes,Not very much,Have not consulted,Yes,Not very much,Not very much,Not very much,Somewhat yes,Others,Somewhat yes,Completely yes,Other,None,Somewhat yes,Not many,None,Somewhat yes,No,Nuwakot,524 2 05 28
59,Nuwakot,Halde kalika VDC,Rural,25-39,Male,Married,Magar,Labourer,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Labour,Little  bit,Not very much,Not many,Driving,Somewhat yes,No,Nuwakot,524 2 05 28
60,Nuwakot,Urleni VDC,Rural,55+,Female,Married,Tamang,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Others,Somewhat yes,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,Not many,Entrepreneurship,Not very much,No,Nuwakot,524 2 05 28
61,Nuwakot,Halde kalika VDC,Rural,40-54,Female,Married,Magar,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not very much,Not very much,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Little  bit,Not very much,Not many,Handicraft production,Not very much, Yes,Nuwakot,524 2 05 28
62,Nuwakot,Urleni VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Somewhat yes,No,Nuwakot,524 2 05 28
63,Nuwakot,Urleni VDC,Rural,55+,Male,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Others,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,Entrepreneurship,Completely yes,No,Nuwakot,524 2 05 28
64,Nuwakot,Urleni VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Little  bit,Not very much,Not many,Masonry,Somewhat yes,No,Nuwakot,524 2 05 28
65,Nuwakot,Urleni VDC,Rural,55+,Male,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not many,Masonry,Somewhat yes,No,Nuwakot,524 2 05 28
66,Nuwakot,Urleni VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Not very much,Not very much,Somewhat yes,Water supply,Don’t Know/Refused,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,Other building skills,Not very much,No,Nuwakot,524 2 05 28
67,Nuwakot,Urleni VDC,Rural,40-54,Male,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Half,Completely yes,Not many,New farming skills,Somewhat yes, Yes,Nuwakot,524 2 05 28
68,Nuwakot,Urleni VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Some concern,Entrepreneurship,Not very much, Yes,Nuwakot,524 2 05 28
69,Nuwakot,Urleni VDC,Rural,40-54,Male,Married,Tamang,Shopkeeper,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Religious/ Cultural Heritages,Somewhat yes,Somewhat yes,Business,Half,Not very much,Not many,Masonry,Somewhat yes,No,Nuwakot,524 2 05 28
70,Nuwakot,Urleni VDC,Rural,15-24,Female,Married,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Others,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Completely yes,Some concern,Tailoring,Somewhat yes,No,Nuwakot,524 2 05 28
